3.000e-01,1.030256e-08,2.461343e-10
3.050e-01,8.196377e-03,1.876842e-04
3.100e-01,2.070604e+00,4.609793e-02
3.150e-01,7.364157e+01,2.208045e+00
3.200e-01,2.997137e+02,1.619868e+01
3.250e-01,9.839839e+02,1.096196e+02
3.300e-01,1.905149e+03,3.195068e+02
3.350e-01,2.181479e+03,4.110087e+02
3.400e-01,2.194342e+03,4.149969e+02
3.450e-01,2.236014e+03,4.122960e+02
3.500e-01,2.362031e+03,4.172094e+02
3.600e-01,2.220565e+03,3.492554e+02
3.700e-01,2.375350e+03,3.312751e+02
3.800e-01,2.201355e+03,2.751719e+02
3.900e-01,1.952883e+03,2.208573e+02
4.000e-01,2.663140e+03,2.747413e+02
4.100e-01,2.935358e+03,2.782558e+02
4.200e-01,2.890781e+03,2.534313e+02
4.300e-01,2.548084e+03,2.077937e+02
4.400e-01,2.860284e+03,2.181011e+02
4.500e-01,3.013172e+03,2.143749e+02
4.600e-01,2.971202e+03,1.944689e+02
4.700e-01,2.802985e+03,1.694508e+02
4.800e-01,2.764669e+03,1.542401e+02
4.900e-01,2.491717e+03,1.281422e+02
5.000e-01,2.408537e+03,1.140232e+02
5.100e-01,2.331278e+03,1.016643e+02
5.200e-01,2.137932e+03,8.649528e+01
5.300e-01,2.094645e+03,7.760360e+01
5.400e-01,2.012270e+03,6.888573e+01
5.500e-01,1.931778e+03,6.150428e+01
5.700e-01,1.679198e+03,4.502891e+01
5.930e-01,-nan,-nan
6.100e-01,1.525336e+03,3.440722e+01
6.300e-01,1.561833e+03,3.476970e+01
6.560e-01,1.509329e+03,3.228370e+01
6.676e-01,1.563249e+03,3.313774e+01
6.900e-01,-nan,-nan
7.100e-01,1.534827e+03,3.074668e+01
7.180e-01,-nan,-nan
7.244e-01,-nan,-nan
7.400e-01,-nan,-nan
7.525e-01,1.400160e+03,2.521025e+01
7.575e-01,1.374671e+03,2.445938e+01
7.625e-01,-nan,-nan
7.675e-01,-nan,-nan
7.800e-01,1.321247e+03,2.249257e+01
8.000e-01,1.370188e+03,2.370759e+01
8.160e-01,-nan,-nan
8.237e-01,-nan,-nan
8.315e-01,-nan,-nan
8.400e-01,-nan,-nan
8.600e-01,1.092626e+03,1.527849e+01
8.800e-01,1.032827e+03,1.381954e+01
9.050e-01,-nan,-nan
9.150e-01,-nan,-nan
9.250e-01,-nan,-nan
9.300e-01,-nan,-nan
9.370e-01,-nan,-nan
9.480e-01,-nan,-nan
9.650e-01,-nan,-nan
9.800e-01,-nan,-nan
9.935e-01,-nan,-nan
1.040e+00,7.308714e+02,7.077019e+00
1.070e+00,6.783167e+02,6.223477e+00
1.100e+00,-nan,-nan
1.120e+00,-nan,-nan
1.130e+00,-nan,-nan
1.145e+00,-nan,-nan
1.161e+00,-nan,-nan
1.170e+00,-nan,-nan
1.200e+00,-nan,-nan
1.240e+00,-nan,-nan
1.270e+00,-nan,-nan
1.290e+00,-nan,-nan
1.320e+00,-nan,-nan
1.350e+00,-nan,-nan
1.395e+00,-nan,-nan
1.442e+00,-nan,-nan
1.462e+00,-nan,-nan
1.477e+00,-nan,-nan
1.497e+00,-nan,-nan
1.520e+00,-nan,-nan
1.539e+00,2.851196e+02,1.291130e+00
1.558e+00,-nan,-nan
1.578e+00,-nan,-nan
1.592e+00,-nan,-nan
1.610e+00,-nan,-nan
1.630e+00,2.486901e+02,9.823170e-01
1.646e+00,2.406315e+02,9.360248e-01
1.678e+00,2.412477e+02,9.732650e-01
1.740e+00,-nan,-nan
1.800e+00,-nan,-nan
1.860e+00,-nan,-nan
1.920e+00,-nan,-nan
1.960e+00,-nan,-nan
1.985e+00,-nan,-nan
2.005e+00,-nan,-nan
2.035e+00,-nan,-nan
2.065e+00,-nan,-nan
2.100e+00,-nan,-nan
2.148e+00,-nan,-nan
2.198e+00,-nan,-nan
2.270e+00,-nan,-nan
2.360e+00,-nan,-nan
2.450e+00,-nan,-nan
2.500e+00,-nan,-nan
2.600e+00,-nan,-nan
2.700e+00,-nan,-nan
2.800e+00,-nan,-nan
2.900e+00,-nan,-nan
3.000e+00,-nan,-nan
3.100e+00,-nan,-nan
3.200e+00,-nan,-nan
3.300e+00,-nan,-nan
3.400e+00,-nan,-nan
3.500e+00,-nan,-nan
3.600e+00,-nan,-nan
3.700e+00,-nan,-nan
3.800e+00,-nan,-nan
3.900e+00,-nan,-nan
4.000e+00,-nan,-nan
